Hotel ID,Hotel name,Hotel URL,Stars (class),"x,y coordinates",pros,cons,author ID,creation_date
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,the blankets has the weirdest smell,,174614138,2022-03-19 21:03:26
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,"Staff were excellent, very friendly.  Nice size rooms and not too far from the airport for early morning flights. Lovely breakfast.",,42486597,2022-02-14 12:39:17
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,"the room was clean, and the studio was big enough for one person.
breakfast need a little bit of some improvement.",nothing to complain about.,9866742,2022-02-07 09:49:52
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,Clean Clean Clean Staff helpful and respectful even the Security it's friendly thank you,Nothing everything is Perfect,30675319,2022-01-01 18:27:43
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,"Nice size, clean rooms with comfy beds.  Rooms include small fridge, kettle and microwave.  Convenient  location to/from airport.   Reasonable taxi ride to the old town, Al Balad.  Excellent staff.  Breakfast included is a nice touch and had a wide variety, something for everyone. Great for short or long stays.  Highly recommend and will sty again when in Jeddah.",COVID test booking through did not happen when it was suppose to.  Not fault of hotel and provider did expedite the results.,42486597,2021-12-30 19:01:21
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,"The service was very good and even if I was on a busy businesstrip, everything was quite relaxing.  Wonderful staff and a fantastic and very central position made my trip very pleasant. Will be back soon.","As the hotel lobby is on the first floor, the main entrance could be better decorated in order to look more welcoming customers. Don't looks like an hotel entrance.",463211662,2021-11-15 09:51:41
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,Staff and hospitality is good,,66321147,2021-11-12 21:28:54
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,"The room is big enough..
A lot of electrical power outlet..
Good location..
Very nice design of the hotel as its new..
Good selection of breakfast..",,167382539,2021-10-21 00:45:12
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,,sofa area smell is very bad .plus no chappal .,66321147,2021-09-21 07:16:51
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,"Cleanness, breakfast, nice kitchen.",None,197940573,2021-09-20 17:59:27
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,Staff the room features,Bed was too soft mattress,2262350,2021-09-09 12:22:36
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,The front desk staff are amazing especially Ms. Rouaa to be honest all the employees are very professional and welcoming.,The parking otherwise everything were perfect,14158447,2021-06-01 15:57:28
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,"Room, breakfast, facility and staff were good",A/C need attention couldn’t sleep at night because the A/C wasn’t working well.,98087774,2021-05-26 09:09:06
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,,The carpet had stains of coffee from previous guests,14795386,2021-03-18 07:47:17
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,Everything,The location,2372775,2021-01-25 20:20:09
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,Quite,Check in,2518313,2021-01-18 19:51:31
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,Staff & Breakfast are good,The parking was too small!,26822877,2020-11-28 08:22:29
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,All good except few things.,"The things that I were not satisfied with: 
1. Too much noise during afternoon time. It comes from cilling. 
2. The slide door for bathroom is not working properly. I have to pull it very hard to let it opens.
3. The hair dtyer is not working and I was asking for new one, but I have not received it.",165724416,2020-10-13 12:14:44
4314135,Hyatt House Jeddah Sari Street,https://www.booking.com/hotel/sa/hyatt-house-jeddah-sari-street.html,4.0,39.1531190263672,21.5778362505688,The staff are amazing,"The over security for the visitors
I need to call them if i have a visitor visiting me which is annoying some how",17526246,2020-09-26 12:41:32
